410,Player1,16/12/2021 07:08
435,Player1,16/12/2021 19:10:19
370,Player1,16/12/2021 19:11:00
1445,Player1,16/12/2021 20:57:20
435,Player1,16/12/2021 21:05:24
515,Player1,16/12/2021 21:07:29
330,Player1,16/12/2021 21:08:08
145,Player1,16/12/2021 21:35:46
395,Player1,16/12/2021 21:36:10
255,Player1,16/12/2021 21:42:46
150,Player1,16/12/2021 21:45:59
235,Player1,16/12/2021 21:53:13
135,Player1,16/12/2021 21:54:39
350,Player1,16/12/2021 21:55:15
345,Player1,16/12/2021 21:55:38
360,Player1,16/12/2021 22:26:55
95,Player1,16/12/2021 22:53:12
420,Player1,16/12/2021 23:14:26
450,Player1,16/12/2021 23:18:44
